NO,NAMA BANK SAMPAH,LOKASI,NO TELP,ALAMAT IP
1,Bank Sampah Kampung Dinoyo,"Jl. Dinoyo Tengah No.32, RT.002/RW.03, Keputran, Kec. Tegalsari, Kota SBY, Jawa Timur 60265",8113046595.0,"-7.28437123758952, 112.74486490704625"
2,Bank sampah Sejahtera Hang Tuah,"Jl, Komp. Hangtuah blok D-17, Ujung, Kec. Semampir, Kota SBY, Jawa Timur 60155",85231715915.0,"-7.221751473365921, 112.74194662602312"
3,Bank Sampah Moro Ijo,"Jl. Mojo Klanggru Lor, Mojo, no68e, Kota SBY, Jawa Timur 60285",81321112693.0,"-7.26821637668491, 112.76971483293865"
4,Bank Sampah Twebar,"Jl. Tambak Wedi Barat No.6 no.40, Tambak Wedi, Kec. Kenjeran, Kota SBY, Jawa Timur 60126",81332788989.0,"-7.213927277974566, 112.77102892883549"
5,Bank Sampah Makmur 5 Surabaya,"Jl. Demak Timur V No.5, Gundih, Kec. Bubutan, Kota SBY, Jawa Timur 60172",82141669033.0,"-7.248097030240931, 112.72384577790953"
6,Bank Sampah Bintang,"Jl. Kapasan Kidul Kapasan Lor No.1, RT.001/RW.03, Kapasan, Kec. Simokerto, Kota SBY, Jawa Timur 60141",85100162694.0,"-7.2317647668397225, 112.75227811169636"
7,Bank Sampah Mandiri,"Jl Kalongan V no 1, RT.3/RW.6, Krembangan Sel., Kec. Krembangan, Kota SBY, Jawa Timur 60175",81331108012.0,"-7.309409288504203, 112.71431496407094"
8,Bank Sampah Sido Makmur,"Jl. Sidosermo III No.10, Sidosermo, Kec. Wonocolo, Kota SBY, Jawa Timur 60239",85707697317.0,"-7.307345341017649, 112.75207721534197"
9,Bank Sampah Guyub Sayekti,"Jl. Ngagel Mulyo VI No.11-17, Ngagelrejo, Kec. Wonokromo, Kota SBY, Jawa Timur 60245",,"-7.295979644611816, 112.74754732698705"
10,Bank Sampah Lestari,"QQ63+WPQ, RW VII, Simokerto, Kec. Simokerto, Kota SBY, Jawa Timur 60143",312345576.0,"-7.311080815783306, 112.74925350603502"
11,Bank Sampah Anggrek 6,"Jl. Pacar Kembang V F No.44-4, Pacar Kembang, Kec. Tambaksari, Kota SBY, Jawa Timur 60132",82131133445.0,"-7.260187979485256, 112.768209908599"
12,Bank Sampah Gks,"Jl. Gayung Kebon Sari XI No.9, Sepanjang, Ketintang, Kec. Gayungan, Kota SBY, Jawa Timur 60231",82140973773.0,"-7.325180750799805, 112.72188235767098"
13,Bank Sampah Jambangan Pintu,"Blok A No., Jl. Jambangan Tama II No.23, Jambangan, Kec. Jambangan, Kota SBY, Jawa Timur 60232",817303249.0,"-7.323770078743129, 112.71520099610224"
14,Bank Sampah Mulyorejo,"Jl. Ngagel Mulyo No.8D, RT.005/RW.04, Ngagelrejo, Kec. Wonokromo, Kota SBY, Jawa Timur 60245",85881898500.0,"-7.295821695288368, 112.74769163839164"
15,Bank Sampah Mekar Jaya,"Jl. Kedondong Kidul 1 No.95, RT.005/RW.05, Tegalsari, Kec. Tegalsari, Kota SBY, Jawa Timur 60262",85101812238.0,"-7.27280306995496, 112.73545007887189"
16,Bank Sampah Induk Surabaya,"Jl. Ngagel Tim No.26, RT.009/RW.06, Pucang Sewu, Kec. Gubeng, Kota SBY, Jawa Timur 60283",85100090858.0,"-7.289437666055596, 112.75011052304968"
